"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"1","0.000000","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","0.000000000"
"5","5.306216","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.306216000"
"17","10.504797","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.198581000"
"28","15.829144","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.324347000"
"37","21.174114","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.344970000"
"41","26.376556","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.202442000"
"48","28.378836","192.168.18.96","5.196.78.28","MQTT","56","Ping Request","2.002280000"
"49","28.604249","5.196.78.28","192.168.18.96","MQTT","56","Ping Response","0.225413000"
"53","31.709241","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","3.104992000"
"58","36.944128","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.234887000"
"69","42.248719","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.304591000"
"79","47.508809","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.260090000"
"88","52.800479","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.291670000"
"95","58.023738","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.223259000"
"108","63.343742","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.320004000"
"116","68.572021","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.228279000"
"123","73.902079","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.330058000"
"129","79.116552","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.214473000"
"139","84.439778","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.323226000"
"151","88.487108","192.168.18.96","5.196.78.28","MQTT","56","Ping Request","4.047330000"
"152","88.707770","5.196.78.28","192.168.18.96","MQTT","56","Ping Response","0.220662000"
"154","89.774463","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","1.066693000"
"160","94.993317","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.218854000"
"178","100.320129","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.326812000"
"182","105.531628","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.211499000"
"263","110.933856","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.402228000"
"1845","116.082966","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.149110000"
"3553","121.403742","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.320776000"
"6832","126.630213","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.226471000"
"6959","131.951930","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.321717000"
"6979","137.176154","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.224224000"
"6992","142.499278","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.323124000"
"7003","147.724126","5.196.78.28","192.168.18.96","MQTT","81","Publish Message [esp32/felipe/dados]","5.224848000"
"7005","148.730031","192.168.18.96","5.196.78.28","MQTT","56","Ping Request","1.005905000"
