"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"22","1.417741","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:51849, POST, coap://192.168.3.103/sensor","0.000000000"
"23","1.418535","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12391, 2.03 Valid","0.000794000"
"69","6.696064","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:44660, POST, coap://192.168.3.103/sensor","5.277529000"
"70","6.696705","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12392, 2.03 Valid","0.000641000"
"129","11.982145","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:17986, POST, coap://192.168.3.103/sensor","5.285440000"
"130","11.982722","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12393, 2.03 Valid","0.000577000"
"396","17.259004","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15072, POST, coap://192.168.3.103/sensor","5.276282000"
"397","17.259612","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12394, 2.03 Valid","0.000608000"
"449","22.536544","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:16008, POST, coap://192.168.3.103/sensor","5.276932000"
"450","22.537216","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12395, 2.03 Valid","0.000672000"
"494","27.816673","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:31665, POST, coap://192.168.3.103/sensor","5.279457000"
"495","27.817372","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12396, 2.03 Valid","0.000699000"
"642","33.096545","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:61794, POST, coap://192.168.3.103/sensor","5.279173000"
"643","33.097229","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12397, 2.03 Valid","0.000684000"
"706","38.376741","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:24505, POST, coap://192.168.3.103/sensor","5.279512000"
"707","38.377363","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12398, 2.03 Valid","0.000622000"
"787","43.657456","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:44539, POST, coap://192.168.3.103/sensor","5.280093000"
"788","43.658236","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12399, 2.03 Valid","0.000780000"
"933","48.937564","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15878, POST, coap://192.168.3.103/sensor","5.279328000"
"934","48.938284","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12400, 2.03 Valid","0.000720000"
"985","54.218836","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:42674, POST, coap://192.168.3.103/sensor","5.280552000"
"986","54.219432","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12401, 2.03 Valid","0.000596000"
"1046","59.499626","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:16884, POST, coap://192.168.3.103/sensor","5.280194000"
"1047","59.500277","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12402, 2.03 Valid","0.000651000"
"1121","64.781703","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:5368, POST, coap://192.168.3.103/sensor","5.281426000"
"1122","64.782311","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12403, 2.03 Valid","0.000608000"
"1160","70.058250","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:36479, POST, coap://192.168.3.103/sensor","5.275939000"
"1161","70.058884","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12404, 2.03 Valid","0.000634000"
"1205","75.337646","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56916, POST, coap://192.168.3.103/sensor","5.278762000"
"1206","75.338367","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12405, 2.03 Valid","0.000721000"
"1246","80.620543","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:8726, POST, coap://192.168.3.103/sensor","5.282176000"
"1247","80.621163","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12406, 2.03 Valid","0.000620000"
"1305","85.898841","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:6990, POST, coap://192.168.3.103/sensor","5.277678000"
"1306","85.899456","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12407, 2.03 Valid","0.000615000"
"1378","91.179570","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:34524, POST, coap://192.168.3.103/sensor","5.280114000"
"1379","91.180225","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12408, 2.03 Valid","0.000655000"
"1472","96.461561","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:14287, POST, coap://192.168.3.103/sensor","5.281336000"
"1473","96.462357","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12409, 2.03 Valid","0.000796000"
"1518","101.741003","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:4229, POST, coap://192.168.3.103/sensor","5.278646000"
"1519","101.741694","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12410, 2.03 Valid","0.000691000"
"1556","107.018362","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:59969, POST, coap://192.168.3.103/sensor","5.276668000"
"1557","107.019126","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12411, 2.03 Valid","0.000764000"
"1610","112.299354","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:28239, POST, coap://192.168.3.103/sensor","5.280228000"
"1611","112.299955","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12412, 2.03 Valid","0.000601000"
"1697","117.582230","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:54453, POST, coap://192.168.3.103/sensor","5.282275000"
"1698","117.582908","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12413, 2.03 Valid","0.000678000"
"1744","122.859615","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:27249, POST, coap://192.168.3.103/sensor","5.276707000"
"1745","122.860253","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12414, 2.03 Valid","0.000638000"
"1890","128.141681","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:20215, POST, coap://192.168.3.103/sensor","5.281428000"
