"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"28","3.486256","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:12259, POST, coap://192.168.3.103/sensor","0.000000000"
"29","3.486979","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49001, 2.03 Valid","0.000723000"
"63","8.760012","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:3178, POST, coap://192.168.3.103/sensor","5.273033000"
"64","8.760696","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49002, 2.03 Valid","0.000684000"
"99","14.040403","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:6162, POST, coap://192.168.3.103/sensor","5.279707000"
"100","14.041094","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49003, 2.03 Valid","0.000691000"
"155","19.320607","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:26914, POST, coap://192.168.3.103/sensor","5.279513000"
"156","19.321423","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49004, 2.03 Valid","0.000816000"
"179","24.598380","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:17873, POST, coap://192.168.3.103/sensor","5.276957000"
"180","24.599177","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49005, 2.03 Valid","0.000797000"
"219","29.878252","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:21681, POST, coap://192.168.3.103/sensor","5.279075000"
"220","29.879025","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49006, 2.03 Valid","0.000773000"
"283","35.159125","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56094, POST, coap://192.168.3.103/sensor","5.280100000"
"284","35.160027","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49007, 2.03 Valid","0.000902000"
"380","40.439240","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:17537, POST, coap://192.168.3.103/sensor","5.279213000"
"381","40.440063","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49008, 2.03 Valid","0.000823000"
"417","45.723200","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56818, POST, coap://192.168.3.103/sensor","5.283137000"
"418","45.724005","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49009, 2.03 Valid","0.000805000"
"442","50.997910","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:23345, POST, coap://192.168.3.103/sensor","5.273905000"
"443","50.998704","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49010, 2.03 Valid","0.000794000"
"471","56.278857","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:8747, POST, coap://192.168.3.103/sensor","5.280153000"
"472","56.279679","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49011, 2.03 Valid","0.000822000"
"507","61.558993","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:51270, POST, coap://192.168.3.103/sensor","5.279314000"
"508","61.559753","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49012, 2.03 Valid","0.000760000"
