"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"11","1.144176","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","0.000000000"
"13","1.192648","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=35 Win=251 Len=0","0.048472000"
"57","5.851103","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.658455000"
"59","5.897863","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=69 Win=251 Len=0","0.046760000"
"117","11.111766","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.213903000"
"118","11.157032","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=103 Win=250 Len=0","0.045266000"
"182","16.576087","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.419055000"
"184","16.624415","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=137 Win=250 Len=0","0.048328000"
"236","22.637702","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","6.013287000"
"237","22.692036","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=171 Win=250 Len=0","0.054334000"
"325","28.160305","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.468269000"
"326","28.213892","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=205 Win=250 Len=0","0.053587000"
"480","33.103912","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.890020000"
"482","33.144659","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=239 Win=255 Len=0","0.040747000"
"532","38.508231","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.363572000"
"533","38.552698","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=273 Win=255 Len=0","0.044467000"
"593","43.288630","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.735932000"
"594","43.339299","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=307 Win=255 Len=0","0.050669000"
"790","48.514336","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.175037000"
"791","48.569070","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=1 Ack=341 Win=255 Len=0","0.054734000"
"810","51.540319","192.168.3.103","5.196.78.28","MQTT","56","Ping Request","2.971249000"
"812","51.756067","5.196.78.28","192.168.3.103","TCP","60","1883  >  51332 [ACK] Seq=341 Ack=3 Win=502 Len=0","0.215748000"
"819","53.391200","5.196.78.28","192.168.3.103","MQTT","60","Ping Response","1.635133000"
"821","53.434284","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=3 Ack=343 Win=255 Len=0","0.043084000"
"855","54.255219","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","0.820935000"
"857","54.300760","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=3 Ack=377 Win=255 Len=0","0.045541000"
"1779","59.080003","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.779243000"
"1786","59.123481","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=3 Ack=411 Win=255 Len=0","0.043478000"
"2676","64.437160","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.313679000"
"2679","64.477176","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=3 Ack=445 Win=255 Len=0","0.040016000"
"3698","70.451507","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.974331000"
"3705","70.504351","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=3 Ack=479 Win=255 Len=0","0.052844000"
"4585","75.768955","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.264604000"
"4586","75.818823","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=3 Ack=513 Win=254 Len=0","0.049868000"
"5289","80.575053","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.756230000"
"5334","80.618303","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=3 Ack=547 Win=254 Len=0","0.043250000"
