No.,Time,Source,Destination,Protocol,Length,Info,Intervalo,Delta_t
11,1.144176,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.0,
57,5.851103,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.658455,4.706927
117,11.111766,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.213903,5.260662999999999
182,16.576087,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.419055,5.464321000000002
236,22.637702,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.013287,6.061615
325,28.160305,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.468269,5.522603
480,33.103912,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.89002,4.943607
532,38.508231,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.363572,5.404319000000001
593,43.28863,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.735932,4.780398999999996
790,48.514336,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.175037,5.225706000000002
855,54.255219,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.820935,5.740882999999997
1779,59.080003,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.779243,4.824784000000001
2676,64.43716,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.313679,5.357157000000008
3698,70.451507,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.974331,6.014347000000001
4585,75.768955,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.264604,5.317447999999999
5289,80.575053,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.75623,4.8060979999999915
6533,86.371062,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.752759,5.796008999999998
14413,91.084426,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.671319,4.7133639999999986
24658,96.182905,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.050818,5.098479000000012
24805,100.943957,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.714473,4.761051999999992
25143,106.288813,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.290394,5.344856000000007
25508,111.55967,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.225153,5.270856999999992
25572,117.150505,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],3.999393,5.5908349999999984
25615,122.353872,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.156655,5.203367
