"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"10","2.457706","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:33950, POST, coap://192.168.18.96/sensor","0.000000000"
"11","2.458609","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:33950, 2.04 Changed","0.000903000"
"21","7.737095","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:31227, POST, coap://192.168.18.96/sensor","5.278486000"
"22","7.737827","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:31227, 2.04 Changed","0.000732000"
"34","13.015715","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:39319, POST, coap://192.168.18.96/sensor","5.277888000"
"35","13.016460","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:39319, 2.04 Changed","0.000745000"
"44","18.294899","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:44607, POST, coap://192.168.18.96/sensor","5.278439000"
"45","18.295744","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:44607, 2.04 Changed","0.000845000"
"111","23.576885","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:65128, POST, coap://192.168.18.96/sensor","5.281141000"
"112","23.577607","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:65128, 2.04 Changed","0.000722000"
"240","28.859288","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:55403, POST, coap://192.168.18.96/sensor","5.281681000"
"241","28.860301","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:55403, 2.04 Changed","0.001013000"
"402","34.134186","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:50847, POST, coap://192.168.18.96/sensor","5.273885000"
"403","34.134931","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:50847, 2.04 Changed","0.000745000"
"406","39.415190","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:45459, POST, coap://192.168.18.96/sensor","5.280259000"
"407","39.416067","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:45459, 2.04 Changed","0.000877000"
"624","44.694375","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:23447, POST, coap://192.168.18.96/sensor","5.278308000"
"625","44.695122","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:23447, 2.04 Changed","0.000747000"
"655","49.971531","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:19860, POST, coap://192.168.18.96/sensor","5.276409000"
"656","49.972336","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:19860, 2.04 Changed","0.000805000"
"744","55.250624","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:45158, POST, coap://192.168.18.96/sensor","5.278288000"
"745","55.251385","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:45158, 2.04 Changed","0.000761000"
"791","60.529448","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:54786, POST, coap://192.168.18.96/sensor","5.278063000"
"792","60.530193","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:54786, 2.04 Changed","0.000745000"
"801","65.808799","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:38170, POST, coap://192.168.18.96/sensor","5.278606000"
"802","65.809562","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:38170, 2.04 Changed","0.000763000"
"857","71.093349","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:13386, POST, coap://192.168.18.96/sensor","5.283787000"
"858","71.094102","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:13386, 2.04 Changed","0.000753000"
"883","76.369968","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:54568, POST, coap://192.168.18.96/sensor","5.275866000"
"884","76.370843","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:54568, 2.04 Changed","0.000875000"
"895","81.645773","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:64094, POST, coap://192.168.18.96/sensor","5.274930000"
"896","81.646591","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:64094, 2.04 Changed","0.000818000"
"924","86.932810","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:13395, POST, coap://192.168.18.96/sensor","5.286219000"
"925","86.933513","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:13395, 2.04 Changed","0.000703000"
"933","92.203724","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:33893, POST, coap://192.168.18.96/sensor","5.270211000"
"934","92.204483","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:33893, 2.04 Changed","0.000759000"
"954","97.483103","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:53491, POST, coap://192.168.18.96/sensor","5.278620000"
"955","97.483965","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:53491, 2.04 Changed","0.000862000"
"997","102.762365","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:13262, POST, coap://192.168.18.96/sensor","5.278400000"
"998","102.763111","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:13262, 2.04 Changed","0.000746000"
"1043","108.041507","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:38608, POST, coap://192.168.18.96/sensor","5.278396000"
"1044","108.042375","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:38608, 2.04 Changed","0.000868000"
"1051","113.320395","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:5328, POST, coap://192.168.18.96/sensor","5.278020000"
"1052","113.321149","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:5328, 2.04 Changed","0.000754000"
"1073","118.600725","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:47828, POST, coap://192.168.18.96/sensor","5.279576000"
"1074","118.601473","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:47828, 2.04 Changed","0.000748000"
"1137","123.878815","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:20757, POST, coap://192.168.18.96/sensor","5.277342000"
"1138","123.879579","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:20757, 2.04 Changed","0.000764000"
"1187","129.157903","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:33420, POST, coap://192.168.18.96/sensor","5.278324000"
"1188","129.158662","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:33420, 2.04 Changed","0.000759000"
"1278","134.437143","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:63950, POST, coap://192.168.18.96/sensor","5.278481000"
"1279","134.438060","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:63950, 2.04 Changed","0.000917000"
"1315","139.715846","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:65200, POST, coap://192.168.18.96/sensor","5.277786000"
"1317","139.716600","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:65200, 2.04 Changed","0.000754000"
"1340","144.998075","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:36163, POST, coap://192.168.18.96/sensor","5.281475000"
"1341","144.998847","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:36163, 2.04 Changed","0.000772000"
"1377","150.274116","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:30962, POST, coap://192.168.18.96/sensor","5.275269000"
"1378","150.274852","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:30962, 2.04 Changed","0.000736000"
"1396","155.553403","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:19096, POST, coap://192.168.18.96/sensor","5.278551000"
"1397","155.554159","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:19096, 2.04 Changed","0.000756000"
"1474","160.832176","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:5131, POST, coap://192.168.18.96/sensor","5.278017000"
"1475","160.832869","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:5131, 2.04 Changed","0.000693000"
"1480","166.114289","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:65124, POST, coap://192.168.18.96/sensor","5.281420000"
"1481","166.115155","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:65124, 2.04 Changed","0.000866000"
"1497","171.391105","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:58014, POST, coap://192.168.18.96/sensor","5.275950000"
"1498","171.391852","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:58014, 2.04 Changed","0.000747000"
"1504","176.669679","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:34872, POST, coap://192.168.18.96/sensor","5.277827000"
"1505","176.670494","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:34872, 2.04 Changed","0.000815000"
"1520","181.948603","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:32734, POST, coap://192.168.18.96/sensor","5.278109000"
"1521","181.949353","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:32734, 2.04 Changed","0.000750000"
"1527","187.227621","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:49549, POST, coap://192.168.18.96/sensor","5.278268000"
"1528","187.228367","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:49549, 2.04 Changed","0.000746000"
"1537","192.507474","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:17808, POST, coap://192.168.18.96/sensor","5.279107000"
"1538","192.508213","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:17808, 2.04 Changed","0.000739000"
"1545","197.785677","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:51253, POST, coap://192.168.18.96/sensor","5.277464000"
"1546","197.786514","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:51253, 2.04 Changed","0.000837000"
"1565","203.064329","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:2952, POST, coap://192.168.18.96/sensor","5.277815000"
"1566","203.065084","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:2952, 2.04 Changed","0.000755000"
"1576","208.343345","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:3151, POST, coap://192.168.18.96/sensor","5.278261000"
"1577","208.344099","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:3151, 2.04 Changed","0.000754000"
"1583","213.622155","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:58937, POST, coap://192.168.18.96/sensor","5.278056000"
"1584","213.622974","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:58937, 2.04 Changed","0.000819000"
"1587","218.901263","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:30060, POST, coap://192.168.18.96/sensor","5.278289000"
"1588","218.902011","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:30060, 2.04 Changed","0.000748000"
"1606","224.180408","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:14200, POST, coap://192.168.18.96/sensor","5.278397000"
"1607","224.181142","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:14200, 2.04 Changed","0.000734000"
"1611","229.459311","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:36704, POST, coap://192.168.18.96/sensor","5.278169000"
"1612","229.460059","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:36704, 2.04 Changed","0.000748000"
"1619","234.742191","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:50451, POST, coap://192.168.18.96/sensor","5.282132000"
"1620","234.742951","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:50451, 2.04 Changed","0.000760000"
"1629","240.020521","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:33441, POST, coap://192.168.18.96/sensor","5.277570000"
"1630","240.021297","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:33441, 2.04 Changed","0.000776000"
"1636","245.297463","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:43326, POST, coap://192.168.18.96/sensor","5.276166000"
"1637","245.298100","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:43326, 2.04 Changed","0.000637000"
"1647","250.577039","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:20614, POST, coap://192.168.18.96/sensor","5.278939000"
"1648","250.577934","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:20614, 2.04 Changed","0.000895000"
"1655","255.856124","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:36566, POST, coap://192.168.18.96/sensor","5.278190000"
"1656","255.856866","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:36566, 2.04 Changed","0.000742000"
"1668","261.141468","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:203, POST, coap://192.168.18.96/sensor","5.284602000"
